,sp_name,sp_artist,sp_url,year,popularity,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,bbd
8106,Man! I Feel Like A Woman!,Shania Twain,https://open.spotify.com/track/6sxptembJVty4sNtcPMAVz,1999,73,0.581,https://api.spotify.com/v1/audio-analysis/6sxptembJVty4sNtcPMAVz,0.657,234493,0.639,6sxptembJVty4sNtcPMAVz,0.0,10,0.278,-7.527,1,0.0412,124.882,4,https://api.spotify.com/v1/tracks/6sxptembJVty4sNtcPMAVz,audio_features,spotify:track:6sxptembJVty4sNtcPMAVz,0.674,1
8107,Steal My Sunshine,LEN,https://open.spotify.com/track/4agp6oHofabdUedr0B1krj,1999,59,0.39399999999999996,https://api.spotify.com/v1/audio-analysis/4agp6oHofabdUedr0B1krj,0.413,265533,0.8290000000000001,4agp6oHofabdUedr0B1krj,0.0,4,0.10800000000000001,-11.110999999999999,1,0.529,191.477,4,https://api.spotify.com/v1/tracks/4agp6oHofabdUedr0B1krj,audio_features,spotify:track:4agp6oHofabdUedr0B1krj,0.677,1
8108,I Need to Know,Marc Anthony,https://open.spotify.com/track/7ffwRz8lZyDOE4Vj58Lo72,1999,56,0.486,https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72,0.813,227707,0.9490000000000001,7ffwRz8lZyDOE4Vj58Lo72,9.75e-06,3,0.11199999999999999,-2.563,0,0.0336,115.061,4,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,audio_features,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.792,1
8109,So Anxious,Ginuwine,https://open.spotify.com/track/2zbjlcLi1VQWqDNYdhyx1l,1999,57,0.27899999999999997,https://api.spotify.com/v1/audio-analysis/2zbjlcLi1VQWqDNYdhyx1l,0.733,276067,0.395,2zbjlcLi1VQWqDNYdhyx1l,2.37e-06,6,0.46799999999999997,-11.959000000000001,0,0.0366,96.085,4,https://api.spotify.com/v1/tracks/2zbjlcLi1VQWqDNYdhyx1l,audio_features,spotify:track:2zbjlcLi1VQWqDNYdhyx1l,0.6609999999999999,1
8110,Back At One,Brian McKnight,https://open.spotify.com/track/6mwA6YiKDjAUG8kWvRRUPh,1999,70,0.452,https://api.spotify.com/v1/audio-analysis/6mwA6YiKDjAUG8kWvRRUPh,0.6609999999999999,263667,0.34600000000000003,6mwA6YiKDjAUG8kWvRRUPh,0.0,11,0.131,-9.115,1,0.03,129.752,4,https://api.spotify.com/v1/tracks/6mwA6YiKDjAUG8kWvRRUPh,audio_features,spotify:track:6mwA6YiKDjAUG8kWvRRUPh,0.256,1
8111,Hold On,Wilson Phillips,https://open.spotify.com/track/4VZDv8sASBS8UruUBGTFdk,1990,67,0.4,https://api.spotify.com/v1/audio-analysis/4VZDv8sASBS8UruUBGTFdk,0.679,266867,0.657,4VZDv8sASBS8UruUBGTFdk,0.0,5,0.0497,-9.897,1,0.0255,97.8,4,https://api.spotify.com/v1/tracks/4VZDv8sASBS8UruUBGTFdk,audio_features,spotify:track:4VZDv8sASBS8UruUBGTFdk,0.546,1
8112,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,https://open.spotify.com/track/6kvoHl80mfCVTv7XnZkjQn,1990,71,0.34,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,0.52,258787,0.652,6kvoHl80mfCVTv7XnZkjQn,5.489999999999999e-05,5,0.256,-6.655,1,0.0274,80.609,4,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,audio_features,spotify:track:6kvoHl80mfCVTv7XnZkjQn,0.722,1
8113,Nothing Compares 2 U,Sinéad O'Connor,https://open.spotify.com/track/3nvuPQTw2zuFAVuLsC9IYQ,1990,71,0.0425,https://api.spotify.com/v1/audio-analysis/3nvuPQTw2zuFAVuLsC9IYQ,0.511,280040,0.574,3nvuPQTw2zuFAVuLsC9IYQ,2.33e-05,5,0.105,-7.016,1,0.0273,119.917,4,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ,audio_features,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,0.161,1
8114,Poison,Bell Biv DeVoe,https://open.spotify.com/track/6m59VvDUi0UQsB2eZ9wVbH,1990,65,0.00195,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,0.84,261853,0.56,6m59VvDUi0UQsB2eZ9wVbH,0.00417,6,0.633,-10.53,0,0.21,111.815,4,https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH,audio_features,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,0.775,1
8115,Vogue,Madonna,https://open.spotify.com/track/27QvYgBk0CHOVHthWnkuWt,1990,65,0.00379,https://api.spotify.com/v1/audio-analysis/27QvYgBk0CHOVHthWnkuWt,0.737,316813,0.88,27QvYgBk0CHOVHthWnkuWt,0.00351,6,0.41700000000000004,-6.449,1,0.0433,115.99799999999999,4,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,audio_features,spotify:track:27QvYgBk0CHOVHthWnkuWt,0.32899999999999996,1
8116,I Can't Wait Another Minute,Hi-Five,https://open.spotify.com/track/1CeGBbkJeKPojRmlo2gIwq,1991,42,0.35700000000000004,https://api.spotify.com/v1/audio-analysis/1CeGBbkJeKPojRmlo2gIwq,0.625,301640,0.644,1CeGBbkJeKPojRmlo2gIwq,0.0,8,0.102,-8.801,1,0.0287,147.435,4,https://api.spotify.com/v1/tracks/1CeGBbkJeKPojRmlo2gIwq,audio_features,spotify:track:1CeGBbkJeKPojRmlo2gIwq,0.638,1
8117,3 a.M. Eternal - Radio Freedom Edit,The KLF,https://open.spotify.com/track/1tI36YWFNZuDJa033aMVSl,1991,20,0.0012900000000000001,https://api.spotify.com/v1/audio-analysis/1tI36YWFNZuDJa033aMVSl,0.631,192458,0.907,1tI36YWFNZuDJa033aMVSl,0.0401,1,0.904,-11.208,1,0.0558,119.259,4,https://api.spotify.com/v1/tracks/1tI36YWFNZuDJa033aMVSl,audio_features,spotify:track:1tI36YWFNZuDJa033aMVSl,0.805,1
8118,"Time, Love and Tenderness",Michael Bolton,https://open.spotify.com/track/3efqNhyZjnIX2Pnu4Jx8dq,1991,38,0.0281,https://api.spotify.com/v1/audio-analysis/3efqNhyZjnIX2Pnu4Jx8dq,0.51,330307,0.8079999999999999,3efqNhyZjnIX2Pnu4Jx8dq,0.0,6,0.295,-8.649,0,0.0475,170.037,4,https://api.spotify.com/v1/tracks/3efqNhyZjnIX2Pnu4Jx8dq,audio_features,spotify:track:3efqNhyZjnIX2Pnu4Jx8dq,0.738,1
8119,Around The Way Girl,LL Cool J,https://open.spotify.com/track/6jL1SnyXcXiKOmw4M2RnmT,1991,53,0.0027300000000000002,https://api.spotify.com/v1/audio-analysis/6jL1SnyXcXiKOmw4M2RnmT,0.62,248493,0.445,6jL1SnyXcXiKOmw4M2RnmT,0.0145,1,0.33299999999999996,-17.154,0,0.382,202.13400000000001,4,https://api.spotify.com/v1/tracks/6jL1SnyXcXiKOmw4M2RnmT,audio_features,spotify:track:6jL1SnyXcXiKOmw4M2RnmT,0.5870000000000001,1
8120,Cream - N.P.G. Mix,Prince,https://open.spotify.com/track/4y9IunzjQiia88KDLH7AmJ,1991,19,0.00305,https://api.spotify.com/v1/audio-analysis/4y9IunzjQiia88KDLH7AmJ,0.7809999999999999,292307,0.7909999999999999,4y9IunzjQiia88KDLH7AmJ,0.5770000000000001,10,0.0758,-7.518,0,0.151,116.242,4,https://api.spotify.com/v1/tracks/4y9IunzjQiia88KDLH7AmJ,audio_features,spotify:track:4y9IunzjQiia88KDLH7AmJ,0.74,1
