,ranking,artist,song,year
191,74.0,Taylor Swift,Back To December,2011
192,75.0,Katy Perry,Teenage Dream,2011
193,76.0,Eli Young Band,Crazy Girl,2011
194,77.0,Rihanna,Cheers (Drink To That),2011
195,78.0,Selena Gomez & The Scene,Who Says,2011
196,79.0,Jake Owen,Barefoot Blue Jean Night,2011
197,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
198,15.0,Katy Perry,Wide Awake,2012
199,16.0,Flo Rida,Good Feeling,2012
200,3.0,Bruno Mars,That’s What I Like,2017
201,80.0,Zac Brown Band feat. Jimmy Buffett,Knee Deep,2011
202,81.0,Luke Bryan,Country Girl (Shake It For Me),2011
203,82.0,Brad Paisley With Carrie Underwood,Remind Me,2011
204,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
205,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
206,17.0,Flo Rida,Whistle,2012
207,18.0,Maroon 5,One More Night,2012
208,19.0,Train,Drive By,2012
209,20.0,Drake feat. Lil Wayne,The Motto,2012
210,21.0,Rihanna,Where Have You Been,2012
211,22.0,Neon Trees,Everybody Talks,2012
212,4.0,Kendrick Lamar,Humble.,2017
213,83.0,Dev,In The Dark,2011
214,84.0,New Boyz feat. The Cataracs & Dev,Backseat,2011
215,85.0,Drake,Headlines,2011
216,86.0,Beyonce,Best Thing I Never Had,2011
217,87.0,Jason Derulo,Don’t Wanna Go Home,2011
218,88.0,David Guetta feat. Flo Rida & Nicki Minaj,Where Them Girls At,2011
219,89.0,Chris Brown,She Ain’t You,2011
220,90.0,Rodney Atkins,Take A Back Road,2011
221,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
222,23.0,Drake feat. Rihanna,Take Care,2012
223,24.0,David Guetta feat. Sia,Titanium,2012
224,25.0,Jason Mraz,I Won’t Give Up,2012
225,26.0,Bruno Mars,It Will Rain,2012
226,27.0,"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,2012
227,28.0,Justin Bieber,Boyfriend,2012
228,29.0,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2012
229,5.0,The Chainsmokers & Coldplay,Something Just Like This,2017
230,91.0,Mike Posner,Please Don’t Go,2011
231,92.0,Miguel,Sure Thing,2011
232,93.0,Jessie J feat. B.O.B,Price Tag,2011
233,94.0,Blake Shelton,God Gave Me You,2011
234,95.0,Lil Wayne feat. Drake,She Will,2011
235,96.0,Thompson Square,Are You Gonna Kiss Me Or Not,2011
236,97.0,Neon Trees,Animal,2011
237,98.0,Kenny Chesney feat. Grace Potter,You And Tequila,2011
238,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
239,30.0,Alex Clare,Too Close,2012
240,31.0,Katy Perry,Part Of Me,2012
241,32.0,Snoop Dogg and Wiz Khalifa feat. Bruno Mars,"Young, Wild & Free",2012
242,6.0,Migos Featuring Lil Uzi Vert,Bad And Boujee,2017
243,99.0,Zac Brown Band,Colder Weather,2011
244,100.0,Big Sean feat. Chris Brown,My Last,2011
245,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
246,33.0,Taylor Swift,We Are Never Ever Getting Back Together,2012
