,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2206,Candy Girl,Frankie Valli & The Four Seasons,https://open.spotify.com/track/4AFLFG6pyvhBLC37FbDwc2,1963,0.719,https://api.spotify.com/v1/audio-analysis/4AFLFG6pyvhBLC37FbDwc2,0.644,157800,0.52,4AFLFG6pyvhBLC37FbDwc2,0.0,5,0.644,-8.163,1,0.036,126.204,4,https://api.spotify.com/v1/tracks/4AFLFG6pyvhBLC37FbDwc2,audio_features,spotify:track:4AFLFG6pyvhBLC37FbDwc2,0.715
2207,Still - Single Version,Bill Anderson,https://open.spotify.com/track/0Q7eey8NSPQEQ3ol75UAAx,1963,0.678,https://api.spotify.com/v1/audio-analysis/0Q7eey8NSPQEQ3ol75UAAx,0.561,166973,0.142,0Q7eey8NSPQEQ3ol75UAAx,0.00631,8,0.226,-18.972,1,0.0433,94.454,4,https://api.spotify.com/v1/tracks/0Q7eey8NSPQEQ3ol75UAAx,audio_features,spotify:track:0Q7eey8NSPQEQ3ol75UAAx,0.293
2208,Blue on Blue,Bobby Vinton,https://open.spotify.com/track/5n6zROqnqMtYXfQ2vazEaz,1963,0.817,https://api.spotify.com/v1/audio-analysis/5n6zROqnqMtYXfQ2vazEaz,0.607,144533,0.303,5n6zROqnqMtYXfQ2vazEaz,0.0,10,0.183,-10.065,1,0.0244,97.383,4,https://api.spotify.com/v1/tracks/5n6zROqnqMtYXfQ2vazEaz,audio_features,spotify:track:5n6zROqnqMtYXfQ2vazEaz,0.555
2209,Cry Baby,Garnet Mimms & The Enchanters,https://open.spotify.com/track/6BiQOxPWVZvum3BZ2Bd4a7,1963,0.497,https://api.spotify.com/v1/audio-analysis/6BiQOxPWVZvum3BZ2Bd4a7,0.48,206227,0.405,6BiQOxPWVZvum3BZ2Bd4a7,0.0,10,0.196,-10.528,1,0.0372,152.646,3,https://api.spotify.com/v1/tracks/6BiQOxPWVZvum3BZ2Bd4a7,audio_features,spotify:track:6BiQOxPWVZvum3BZ2Bd4a7,0.668
2210,Two Faces Have I,Lou Christie,https://open.spotify.com/track/1cpguRdD11njLNH2ZeWygE,1963,0.72,https://api.spotify.com/v1/audio-analysis/1cpguRdD11njLNH2ZeWygE,0.649,165067,0.584,1cpguRdD11njLNH2ZeWygE,9.42e-06,5,0.0996,-8.086,1,0.0349,139.266,4,https://api.spotify.com/v1/tracks/1cpguRdD11njLNH2ZeWygE,audio_features,spotify:track:1cpguRdD11njLNH2ZeWygE,0.963
2211,Jet Airliner,Steve Miller Band,https://open.spotify.com/track/2zI3bUYn2pcF27of6i2oqK,1977,0.0737,https://api.spotify.com/v1/audio-analysis/2zI3bUYn2pcF27of6i2oqK,0.574,215667,0.664,2zI3bUYn2pcF27of6i2oqK,0.0,5,0.22,-11.5,1,0.0346,122.956,4,https://api.spotify.com/v1/tracks/2zI3bUYn2pcF27of6i2oqK,audio_features,spotify:track:2zI3bUYn2pcF27of6i2oqK,0.936
2212,Stand Tall,Burton Cummings,https://open.spotify.com/track/14IKLtPlsqWL077svIJYey,1977,0.0243,https://api.spotify.com/v1/audio-analysis/14IKLtPlsqWL077svIJYey,0.463,272293,0.396,14IKLtPlsqWL077svIJYey,7.23e-05,7,0.173,-10.128,1,0.0304,80.753,4,https://api.spotify.com/v1/tracks/14IKLtPlsqWL077svIJYey,audio_features,spotify:track:14IKLtPlsqWL077svIJYey,0.365
2213,Way Down,Elvis Presley,https://open.spotify.com/track/1Ya87xcJInskhE5joOq9tP,1977,0.501,https://api.spotify.com/v1/audio-analysis/1Ya87xcJInskhE5joOq9tP,0.462,157333,0.87,1Ya87xcJInskhE5joOq9tP,0.000174,0,0.28,-6.554,1,0.076,148.312,4,https://api.spotify.com/v1/tracks/1Ya87xcJInskhE5joOq9tP,audio_features,spotify:track:1Ya87xcJInskhE5joOq9tP,0.507
2214,Weekend in New England,Barry Manilow,https://open.spotify.com/track/5XWmnuSMexMy6WRYz5rSfq,1977,0.568,https://api.spotify.com/v1/audio-analysis/5XWmnuSMexMy6WRYz5rSfq,0.245,226920,0.397,5XWmnuSMexMy6WRYz5rSfq,1.83e-05,0,0.171,-6.997,1,0.0272,80.427,3,https://api.spotify.com/v1/tracks/5XWmnuSMexMy6WRYz5rSfq,audio_features,spotify:track:5XWmnuSMexMy6WRYz5rSfq,0.244
2215,Passionfruit,Drake,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,2017,0.256,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,0.809,298941,0.463,5mCPDVBb16L4XQwDdbRUpz,0.085,11,0.109,-11.377,1,0.0396,111.98,4,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.364
2216,Uptown Funk,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,2015,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
2217,Uptown Funk,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,2015,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
2218,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,https://open.spotify.com/track/1cU34sZG9kF4FYHCoAD0Ib,1975,0.144,https://api.spotify.com/v1/audio-analysis/1cU34sZG9kF4FYHCoAD0Ib,0.855,202733,0.691,1cU34sZG9kF4FYHCoAD0Ib,0.0,2,0.36,-6.51,1,0.0514,121.472,4,https://api.spotify.com/v1/tracks/1cU34sZG9kF4FYHCoAD0Ib,audio_features,spotify:track:1cU34sZG9kF4FYHCoAD0Ib,0.647
2219,When Will I See You Again,The Three Degrees,https://open.spotify.com/track/02srSkeu2pzybuVr2B9TJm,1975,0.732,https://api.spotify.com/v1/audio-analysis/02srSkeu2pzybuVr2B9TJm,0.564,178747,0.594,02srSkeu2pzybuVr2B9TJm,0.00366,9,0.343,-9.245,1,0.0328,120.749,4,https://api.spotify.com/v1/tracks/02srSkeu2pzybuVr2B9TJm,audio_features,spotify:track:02srSkeu2pzybuVr2B9TJm,0.766
2220,"Get Down, Get Down (Get On The Floor)",Joe Simon,https://open.spotify.com/track/35xAXJ0EVKTS78XgcEB7GU,1975,0.196,https://api.spotify.com/v1/audio-analysis/35xAXJ0EVKTS78XgcEB7GU,0.689,176920,0.559,35xAXJ0EVKTS78XgcEB7GU,0.0,8,0.148,-9.203,1,0.0377,113.801,4,https://api.spotify.com/v1/tracks/35xAXJ0EVKTS78XgcEB7GU,audio_features,spotify:track:35xAXJ0EVKTS78XgcEB7GU,0.789
2221,Killer Queen - 2011 Mix,Queen,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8,1975,0.379,https://api.spotify.com/v1/audio-analysis/7GqWnsKhMtEW0nzki5o0d8,0.535,179600,0.65,7GqWnsKhMtEW0nzki5o0d8,0.0,10,0.14,-6.328,1,0.0554,117.188,4,https://api.spotify.com/v1/tracks/7GqWnsKhMtEW0nzki5o0d8,audio_features,spotify:track:7GqWnsKhMtEW0nzki5o0d8,0.61
2222,Shoeshine Boy,Eddie Kendricks,https://open.spotify.com/track/1vIsPpjkRBJyFBbYdQNopN,1975,0.326,https://api.spotify.com/v1/audio-analysis/1vIsPpjkRBJyFBbYdQNopN,0.641,195493,0.661,1vIsPpjkRBJyFBbYdQNopN,2.46e-05,2,0.11,-10.621,1,0.0491,167.201,4,https://api.spotify.com/v1/tracks/1vIsPpjkRBJyFBbYdQNopN,audio_features,spotify:track:1vIsPpjkRBJyFBbYdQNopN,0.941
2223,Do It ('Til You're Satisfied),B.T. Express,https://open.spotify.com/track/4lnQfs7AmQm6dqCaNMDJLr,1975,0.115,https://api.spotify.com/v1/audio-analysis/4lnQfs7AmQm6dqCaNMDJLr,0.703,353987,0.761,4lnQfs7AmQm6dqCaNMDJLr,4.99e-06,10,0.103,-10.136,1,0.0552,104.838,4,https://api.spotify.com/v1/tracks/4lnQfs7AmQm6dqCaNMDJLr,audio_features,spotify:track:4lnQfs7AmQm6dqCaNMDJLr,0.652
2224,(Our Love) Don't Throw It All Away,Andy Gibb,https://open.spotify.com/track/1RsxUuB1Q5OdseLpHMBkEN,1979,0.357,https://api.spotify.com/v1/audio-analysis/1RsxUuB1Q5OdseLpHMBkEN,0.349,250200,0.337,1RsxUuB1Q5OdseLpHMBkEN,6.05e-05,5,0.643,-13.193,1,0.0528,143.143,4,https://api.spotify.com/v1/tracks/1RsxUuB1Q5OdseLpHMBkEN,audio_features,spotify:track:1RsxUuB1Q5OdseLpHMBkEN,0.208
2225,What You Won't Do for Love,Bobby Caldwell,https://open.spotify.com/track/7dL8FCLzEaWC2A3qWQuz1q,1979,0.461,https://api.spotify.com/v1/audio-analysis/7dL8FCLzEaWC2A3qWQuz1q,0.642,286493,0.397,7dL8FCLzEaWC2A3qWQuz1q,0.000834,6,0.106,-16.842,1,0.0639,84.064,4,https://api.spotify.com/v1/tracks/7dL8FCLzEaWC2A3qWQuz1q,audio_features,spotify:track:7dL8FCLzEaWC2A3qWQuz1q,0.798
2226,New York Groove,Ace Frehley,https://open.spotify.com/track/1BvpeiApX8qhof8Pmi3YlH,1979,0.61,https://api.spotify.com/v1/audio-analysis/1BvpeiApX8qhof8Pmi3YlH,0.826,183693,0.608,1BvpeiApX8qhof8Pmi3YlH,0.00016,4,0.116,-8.442,1,0.164,95.085,4,https://api.spotify.com/v1/tracks/1BvpeiApX8qhof8Pmi3YlH,audio_features,spotify:track:1BvpeiApX8qhof8Pmi3YlH,0.847
